,district_number_name,officer_race,awardee,percent_by_dist,population_percentage,difference,awards_disproportion
87,Gresham,Black,8809,44,46.32911392405064,0.9497267759562841,-0.050273224043715925
88,Gresham,Hispanic,3091,15,21.772151898734176,0.688953488372093,-0.311046511627907
89,Gresham,White,7638,38,30.126582278481013,1.261344537815126,0.261344537815126
90,Englewood,Asian/Pacific,347,1,2.4498886414253898,0.4081818181818182,-0.5918181818181818
91,Englewood,Black,6370,26,29.621380846325167,0.8777443609022556,-0.1222556390977444
92,Englewood,Hispanic,4032,16,21.826280623608017,0.7330612244897959,-0.26693877551020406
93,Englewood,Native American/Alaskan Native,39,0,0.22271714922048996,0.0,-1.0
94,Englewood,White,13694,55,45.87973273942094,1.1987864077669903,0.1987864077669903
95,Chicago Lawn,Asian/Pacific,673,2,2.0618556701030926,0.9700000000000001,-0.029999999999999916
96,Chicago Lawn,Black,1346,4,5.670103092783505,0.7054545454545454,-0.29454545454545455
97,Chicago Lawn,Hispanic,6026,22,28.60824742268041,0.769009009009009,-0.23099099099099096
98,Chicago Lawn,Native American/Alaskan Native,53,0,0.25773195876288657,0.0,-1.0
99,Chicago Lawn,White,18846,69,63.4020618556701,1.0882926829268293,0.08829268292682935
100,Deering,Asian/Pacific,485,2,3.888888888888889,0.5142857142857143,-0.48571428571428565
101,Deering,Black,1286,5,7.222222222222221,0.6923076923076924,-0.3076923076923076
102,Deering,Hispanic,5663,24,31.11111111111111,0.7714285714285715,-0.22857142857142854
103,Deering,White,15855,68,57.77777777777777,1.176923076923077,0.17692307692307696
